ref,authors,year,title,venue,doi_or_id,publisher,priority,access,recommended_filename,url
[01],"Liu, Wang, Cui, Zhou, Yang",2016,A Joint Time Synchronization and Localization Design for Mobile Underwater Sensor Networks,IEEE Trans. Mobile Computing 15(2):530-543,10.1109/TMC.2015.2410777,IEEE,P1,paywall,[01]-liu-2016-joint-sync-loc.pdf,https://ieeexplore.ieee.org/document/7060716/
[02],"Luo, Wu, Ruby, Hong, Guo, Ni",2017,Simulation and Experimentation Platforms for Underwater Acoustic Sensor Networks: Advancements and Challenges,ACM Comput. Surv. 50(2):1-44,10.1145/3040990,ACM,P2,paywall,[02]-luo-2017-uwasn-platforms.pdf,https://dl.acm.org/doi/10.1145/3040990
[03],"Vermeij, Munafò",2015,"A Robust, Opportunistic Clock Synchronization Algorithm for Ad Hoc Underwater Acoustic Networks",IEEE J. Oceanic Engineering 40(4):841-852,10.1109/JOE.2015.2469151,IEEE,P1,paywall,[03]-vermeij-2015-opportunistic.pdf,https://ieeexplore.ieee.org/document/7322329/
[04],"Tuna, Gungor",2017,"A survey on deployment techniques, localization algorithms, and research challenges for underwater acoustic sensor networks",Int. J. Communication Systems 30(17):e3350,10.1002/dac.3350,Wiley,P2,paywall,[04]-tuna-2017-uwasn-survey.pdf,https://onlinelibrary.wiley.com/doi/10.1002/dac.3350
[05],"Gong, Li, Jiang",2018,AUV-Aided Joint Localization and Time Synchronization for Underwater Acoustic Sensor Networks,IEEE Signal Processing Letters 25(4):477-481,10.1109/LSP.2018.2799699,IEEE,P1,paywall,[05]-gong-2018-auv-aided.pdf,https://ieeexplore.ieee.org/document/8281516/
[06],"Gardner, Collins",2016,A Second Look at Chip Scale Atomic Clocks for Long Term Precision Timing Four Years in the Field,MTS/IEEE Oceans Monterey,10.1109/OCEANS.2016.7761340,IEEE,P0,paywall,[06]-gardner-2016-csac.pdf,https://ieeexplore.ieee.org/document/7761340/
[07],"Elson, Girod, Estrin",2002,Fine-grained network time synchronization using reference broadcasts (RBS),USENIX OSDI 02 pp.147-163,n/a,USENIX,P2,open (USENIX proceedings),[07]-elson-2002-rbs.pdf,https://www.usenix.org/legacy/event/osdi02/tech/full_papers/elson/elson.pdf
[08],"Ganeriwal, Kumar, Srivastava",2003,Timing-sync protocol for sensor networks (TPSN),ACM SenSys 03,10.1145/958491.958508,ACM,P2,paywall,[08]-ganeriwal-2003-tpsn.pdf,https://dl.acm.org/doi/10.1145/958491.958508
[09],"Maróti, Kusy, Simon, Lédeczi",2004,The flooding time synchronization protocol (FTSP),ACM SenSys 04,10.1145/1031495.1031501,ACM,P2,paywall,[09]-maroti-2004-ftsp.pdf,https://dl.acm.org/doi/10.1145/1031495.1031501
[10],"Syed, Heidemann",2006,Time Synchronization for High Latency acoustic networks (TSHL),IEEE INFOCOM 06,10.1109/INFOCOM.2006.161,IEEE,P0,ALREADY IN CORPUS (papers/analysis/tshl-clock-sync.md),SKIP-already-have,https://ieeexplore.ieee.org/document/4146871/
[11],"Chirdchoo, Soh, Chua",2008,MU-Sync: A time synchronization protocol for underwater mobile networks,ACM WUWNet 08 pp.35-42,10.1145/1410107.1410114,ACM,P1,paywall,[11]-chirdchoo-2008-mu-sync.pdf,https://dl.acm.org/doi/10.1145/1410107.1410114
